X,Barchart,Benzinga,BourseDirect,BusinessInsider,Fidelity,Fool,Iexcloud,Investing,Investor,Koyfin,Lesechos,MacroTrends,Marketscreener,MarketWatch,MorningStar,Nasdaq,Reuters,SlickCharts,StockAnalysis,TradingView,WallStreetJournal,Yahoo
Barchart,0,0.9494093314215382,0.6774778155421928,0.8934202286335325,0.9524596390958645,0.9151676062439323,0.8981281818677532,0.9077680157923521,0.8365423835984176,0.9079148992644545,0.9144935888200547,0.178280481970869,0.9001181115868611,0.8791244330266895,0.9430772045587341,0.9625063494609268,0.8723307560219871,0.9239461103867883,0.8959636666183989,0.8921289728612345,0.8791244330266895,0.9650267150153432
Benzinga,0.9494093314215382,0,0.7384547683038483,0.9339527875439477,0.9475678048955649,0.953186171893444,0.9067962798765137,0.9161517871057047,0.8678230700614328,0.9553951904400642,0.9259276141854317,0.18839108114309233,0.95902586811671,0.9444259607357984,0.9393606067776449,0.9545832460378908,0.8683486889264049,0.9481379975002635,0.9052868120902755,0.9496762283456616,0.9444259607357984,0.9570165916293906
BourseDirect,0.6774778155421928,0.7384547683038483,0,0.6174614298095669,0.6221366937736669,0.6840822996007572,0.7936527768224015,0.646343560276859,0.6340198834290984,0.6817506045458077,0.7501881906597212,0.12845333415541674,0.6802080262545684,0.6622031203533723,0.7804184177128163,0.6877039539992444,0.6421110995911412,0.6415062764423789,0.7924113984433121,0.6620640594833942,0.6622031203533723,0.6530994445879802
BusinessInsider,0.8934202286335325,0.9339527875439477,0.6174614298095669,0,0.9537167549091293,0.909012855646252,0.8719565975427154,0.9194497442721777,0.8449527716820914,0.9115621955561928,0.8407492778572054,0.09225638949098444,0.9074494551134512,0.9557560995088448,0.9208316564604022,0.953600964250345,0.9272893630275658,0.9047285795599207,0.8728479904456342,0.9459322445709633,0.9557560995088448,0.9628441018654447
Fidelity,0.9524596390958645,0.9475678048955649,0.6221366937736669,0.9537167549091293,0,0.9507908320325185,0.9048479178837919,0.9422032011155921,0.8845876725599419,0.9581718082175928,0.9310852155885844,0.19289991258604713,0.9499493889941076,0.9748553769060292,0.9690121338292553,0.9710718670751718,0.9179624436174411,0.9478394890966717,0.9073301968901234,0.9941067238232849,0.9748553769060292,0.9703572033446453
Fool,0.9151676062439323,0.953186171893444,0.6840822996007572,0.909012855646252,0.9507908320325185,0,0.9065074439250501,0.9125468889300072,0.8306564213524185,0.9962174021608359,0.9172781854569713,0.1776635377818466,0.9949874365736407,0.942586537075798,0.9486016613501699,0.9726570874287532,0.8731418985170843,0.9382474485883835,0.9006144601090348,0.9537566566775098,0.942586537075798,0.9635985511765693
Iexcloud,0.8981281818677532,0.9067962798765137,0.7936527768224015,0.8719565975427154,0.9048479178837919,0.9065074439250501,0,0.8823801403730095,0.837836329398975,0.9011799746087181,0.8995918082545442,0.1964326287538801,0.8944320219839018,0.9035381349275811,0.9147489636312492,0.9089379340763104,0.8162325940939603,0.9083770264085497,0.9992964771643633,0.9051563612311591,0.9035381349275811,0.907810790382003
Investing,0.9077680157923521,0.9161517871057047,0.646343560276859,0.9194497442721777,0.9422032011155921,0.9125468889300072,0.8823801403730095,0,0.8887123890674221,0.9217364866332226,0.8190557054917064,0.19666818068927558,0.9114085689656859,0.94584729989567,0.9252022249310256,0.9461835293482528,0.8969917877744751,0.921624754922854,0.8755979980380141,0.9516225679974355,0.94584729989567,0.9427606682856089
Investor,0.8365423835984176,0.8678230700614328,0.6340198834290984,0.8449527716820914,0.8845876725599419,0.8306564213524185,0.837836329398975,0.8887123890674221,0,0.8196244065903379,0.961518302943367,0.17148465311232744,0.8319505607633854,0.810566689846049,0.8609810733956427,0.8859323729203845,0.8507863726949105,0.8311390146429526,0.8309919736404289,0.8351778187483663,0.810566689846049,0.8974964111056177
Koyfin,0.9079148992644545,0.9553951904400642,0.6817506045458077,0.9115621955561928,0.9581718082175928,0.9962174021608359,0.9011799746087181,0.9217364866332226,0.8196244065903379,0,0.9275885142408286,0.1826923264319411,0.9985765429275689,0.9442298095560817,0.9529326348588514,0.9688456500050131,0.8754535502239109,0.937260319883814,0.8994340224240447,0.94390313424534,0.9442298095560817,0.9668803550514702
Lesechos,0.9144935888200547,0.9259276141854317,0.7501881906597212,0.8407492778572054,0.9310852155885844,0.9172781854569713,0.8995918082545442,0.8190557054917064,0.961518302943367,0.9275885142408286,0,0.22129066540709688,0.9715619817880313,0.8890578180583643,0.8680818538720773,0.8931481372143827,0.8609596057476674,0.9241885249531344,0.8853826872231569,0.8696428049030219,0.8890578180583643,0.8775571947213738
MacroTrends,0.178280481970869,0.18839108114309233,0.12845333415541674,0.09225638949098444,0.19289991258604713,0.1776635377818466,0.1964326287538801,0.19666818068927558,0.17148465311232744,0.1826923264319411,0.22129066540709688,0,0.22916515189484718,0.17889056102154133,0.2488193395648802,0.1971993365949932,0.30255954601422536,0.1505306045171458,0.21243742366693957,0.21375006767460636,0.17889056102154133,0.1895231251447833
Marketscreener,0.9001181115868611,0.95902586811671,0.6802080262545684,0.9074494551134512,0.9499493889941076,0.9949874365736407,0.8944320219839018,0.9114085689656859,0.8319505607633854,0.9985765429275689,0.9715619817880313,0.22916515189484718,0,0.9441397179142166,0.9398534470829405,0.9703427805992155,0.8773797845027197,0.9346243118135042,0.8939895976018246,0.9455360925969577,0.9441397179142166,0.9598359719990933
MarketWatch,0.8791244330266895,0.9444259607357984,0.6622031203533723,0.9557560995088448,0.9748553769060292,0.942586537075798,0.9035381349275811,0.94584729989567,0.810566689846049,0.9442298095560817,0.8890578180583643,0.17889056102154133,0.9441397179142166,0,0.9725813270381857,0.979267605524275,0.8879870766042123,0.9125804584571975,0.9035192311676961,0.9524672017138383,1,0.9788488785722899
MorningStar,0.9430772045587341,0.9393606067776449,0.7804184177128163,0.9208316564604022,0.9690121338292553,0.9486016613501699,0.9147489636312492,0.9252022249310256,0.8609810733956427,0.9529326348588514,0.8680818538720773,0.2488193395648802,0.9398534470829405,0.9725813270381857,0,0.9683287004687787,0.8487761601154653,0.9523481207154677,0.9156816237864261,0.967838004518337,0.9725813270381857,0.9758461261272265
Nasdaq,0.9625063494609268,0.9545832460378908,0.6877039539992444,0.953600964250345,0.9710718670751718,0.9726570874287532,0.9089379340763104,0.9461835293482528,0.8859323729203845,0.9688456500050131,0.8931481372143827,0.1971993365949932,0.9703427805992155,0.979267605524275,0.9683287004687787,0,0.8879943752653177,0.9605045159860365,0.9011049210594656,0.9866607754156473,0.979267605524275,0.9819041367473267
Reuters,0.8723307560219871,0.8683486889264049,0.6421110995911412,0.9272893630275658,0.9179624436174411,0.8731418985170843,0.8162325940939603,0.8969917877744751,0.8507863726949105,0.8754535502239109,0.8609596057476674,0.30255954601422536,0.8773797845027197,0.8879870766042123,0.8487761601154653,0.8879943752653177,0,0.8917363887400569,0.8149365783694142,0.8954118567195634,0.8879870766042123,0.9139399276056516
SlickCharts,0.9239461103867883,0.9481379975002635,0.6415062764423789,0.9047285795599207,0.9478394890966717,0.9382474485883835,0.9083770264085497,0.921624754922854,0.8311390146429526,0.937260319883814,0.9241885249531344,0.1505306045171458,0.9346243118135042,0.9125804584571975,0.9523481207154677,0.9605045159860365,0.8917363887400569,0,0.9074008527731591,0.9298688553262746,0.9125804584571975,0.9583254051526832
StockAnalysis,0.8959636666183989,0.9052868120902755,0.7924113984433121,0.8728479904456342,0.9073301968901234,0.9006144601090348,0.9992964771643633,0.8755979980380141,0.8309919736404289,0.8994340224240447,0.8853826872231569,0.21243742366693957,0.8939895976018246,0.9035192311676961,0.9156816237864261,0.9011049210594656,0.8149365783694142,0.9074008527731591,0,0.9062905440440452,0.9035192311676961,0.9028443167633962
TradingView,0.8921289728612345,0.9496762283456616,0.6620640594833942,0.9459322445709633,0.9941067238232849,0.9537566566775098,0.9051563612311591,0.9516225679974355,0.8351778187483663,0.94390313424534,0.8696428049030219,0.21375006767460636,0.9455360925969577,0.9524672017138383,0.967838004518337,0.9866607754156473,0.8954118567195634,0.9298688553262746,0.9062905440440452,0,0.9524672017138383,0.9816289008813704
WallStreetJournal,0.8791244330266895,0.9444259607357984,0.6622031203533723,0.9557560995088448,0.9748553769060292,0.942586537075798,0.9035381349275811,0.94584729989567,0.810566689846049,0.9442298095560817,0.8890578180583643,0.17889056102154133,0.9441397179142166,1,0.9725813270381857,0.979267605524275,0.8879870766042123,0.9125804584571975,0.9035192311676961,0.9524672017138383,0,0.9788488785722899
Yahoo,0.9650267150153432,0.9570165916293906,0.6530994445879802,0.9628441018654447,0.9703572033446453,0.9635985511765693,0.907810790382003,0.9427606682856089,0.8974964111056177,0.9668803550514702,0.8775571947213738,0.1895231251447833,0.9598359719990933,0.9788488785722899,0.9758461261272265,0.9819041367473267,0.9139399276056516,0.9583254051526832,0.9028443167633962,0.9816289008813704,0.9788488785722899,0
