X,Barchart,Benzinga,BourseDirect,BusinessInsider,Fidelity,Fool,Iexcloud,Investing,Investor,Koyfin,Lesechos,Lynx,MacroTrends,Marketscreener,MarketWatch,MorningStar,Nasdaq,Reuters,SlickCharts,StockAnalysis,TradingView,WallStreetJournal,Yahoo
Barchart,0,0.9578294745525283,0.7003274071352843,0.9204654463692753,0.9570011399365791,0.9329626362736567,0.9347595492776657,0.9095226412096763,0.8411408143834895,0.9372439574304039,0.9098608209800417,0.866183076927164,0.1905873875231665,0.9333068777527768,0.9133388061734937,0.9660545171473546,0.969745122436752,0.9107466175150517,0.9415262600421365,0.9329465271900665,0.9151733278152221,0.9133388061734937,0.9716884901328308
Benzinga,0.9578294745525283,0,0.7505635249724518,0.9603917678669454,0.948228812686644,0.9541717228089183,0.9299828921042712,0.9129936053664768,0.8751762431636204,0.9568421441352055,0.9181055487507738,0.957228257202618,0.19270533073215426,0.9585234165320528,0.9458418310311137,0.9512723711486714,0.9552088375830873,0.9059474741321047,0.9431577860713993,0.9306757311357828,0.9493416699092116,0.9458418310311137,0.9577228012009669
BourseDirect,0.7003274071352843,0.7505635249724518,0,0.6560815843248095,0.6403867130071882,0.700935418142538,0.813177146350597,0.6626024825049261,0.6588196501295817,0.6989955108277915,0.7861097263400939,0.6836061709173045,0.13493094512895515,0.6997436791050946,0.6779872251726978,0.7906936911218955,0.7011922817476156,0.6816802530246795,0.6603907468149656,0.8107975287133499,0.6782129419048943,0.6779872251726978,0.6686411128322544
BusinessInsider,0.9204654463692753,0.9603917678669454,0.6560815843248095,0,0.9765681786548306,0.9279739845173901,0.936583966095709,0.9467443866889206,0.8712066954933385,0.9312795777395481,0.8743176272295037,0.8809175381940815,0.09800536465516005,0.9264382700640122,0.9735266274461071,0.9774027954656227,0.9794569123871896,0.9208375936224511,0.9188969898681574,0.9371758886543804,0.9644655618685433,0.9735266274461071,0.9870805991734882
Fidelity,0.9570011399365791,0.948228812686644,0.6403867130071882,0.9765681786548306,0,0.948152473560765,0.9301627183536731,0.9396814859563055,0.8868699217850013,0.9557045393511788,0.922608352688549,0.9561933852713413,0.1969880311781442,0.9459870220067941,0.9763709403185967,0.9778520632217145,0.973411706426833,0.9532082835755687,0.9432079880314007,0.9330762066009491,0.9938334516355726,0.9763709403185967,0.9710477386659061
Fool,0.9329626362736567,0.9541717228089183,0.700935418142538,0.9279739845173901,0.948152473560765,0,0.9305577433934353,0.9090886368246442,0.8370084023167632,0.9962370228420167,0.9226150256887518,0.8485830119647978,0.17945301976013658,0.9947637636374707,0.9474612606690406,0.9596830221771894,0.9725221703167931,0.9093994046311515,0.9378231344465563,0.9269539437748017,0.9523843593988469,0.9474612606690406,0.963750570529615
Iexcloud,0.9347595492776657,0.9299828921042712,0.813177146350597,0.936583966095709,0.9301627183536731,0.9305577433934353,0,0.9004666533650764,0.8708335429609364,0.9287758829100842,0.9187457680087504,0.9178162702234992,0.20803960170082655,0.9289517459053686,0.9309220173809242,0.9360109156610715,0.9329439738428956,0.8884402547861004,0.9219069682162263,0.9992660466063691,0.9333094657532479,0.9309220173809242,0.9309910949789418
Investing,0.9095226412096763,0.9129936053664768,0.6626024825049261,0.9467443866889206,0.9396814859563055,0.9090886368246442,0.9004666533650764,0,0.8895366336964792,0.917905252597075,0.8246407488726154,0.9126923076923077,0.19716786443117992,0.9072767703101637,0.9437965522175612,0.928898379744896,0.9441103245761792,0.9193834808999474,0.9187674211131115,0.8936928518988186,0.9489826976162193,0.9437965522175612,0.9411149713845123
Investor,0.8411408143834895,0.8751762431636204,0.6588196501295817,0.8712066954933385,0.8868699217850013,0.8370084023167632,0.8708335429609364,0.8895366336964792,0,0.8372484482792156,0.9739208186379216,0.8079242344171558,0.17929743738874404,0.8500246877954221,0.8293314199184818,0.8819301137071867,0.8915646442590622,0.8936988915542318,0.84420470040908,0.8627077924594102,0.8489014415233814,0.8293314199184818,0.9029232413664621
Koyfin,0.9372439574304039,0.9568421441352055,0.6989955108277915,0.9312795777395481,0.9557045393511788,0.9962370228420167,0.9287758829100842,0.917905252597075,0.8372484482792156,0,0.9316520282276489,0.8552927269656937,0.18953489323363043,0.998519037964629,0.9514568420849069,0.9638269626984138,0.969888423980869,0.9122652593103705,0.947317640637448,0.9261671111397579,0.9543508201408905,0.9514568420849069,0.9675806697840509
Lesechos,0.9098608209800417,0.9181055487507738,0.7861097263400939,0.8743176272295037,0.922608352688549,0.9226150256887518,0.9187457680087504,0.8246407488726154,0.9739208186379216,0.9316520282276489,0,0.9192228246837078,0.22707508096460782,0.9781311874904808,0.8839900905783077,0.8743099343292954,0.8841062166137648,0.8630801146826415,0.929459884906196,0.9049432573356507,0.8614716952146863,0.8839900905783077,0.8860421805003271
Lynx,0.866183076927164,0.957228257202618,0.6836061709173045,0.8809175381940815,0.9561933852713413,0.8485830119647978,0.9178162702234992,0.9126923076923077,0.8079242344171558,0.8552927269656937,0.9192228246837078,0,0.17166964751568514,0.8585614320359677,0.8544984873636298,0.9392777823476186,0.9521556856179663,0.9291300756328613,0.8445422104072622,0.9159126869164085,0.871098224269986,0.8544984873636298,0.9430344277215116
MacroTrends,0.1905873875231665,0.19270533073215426,0.13493094512895515,0.09800536465516005,0.1969880311781442,0.17945301976013658,0.20803960170082655,0.19716786443117992,0.17929743738874404,0.18953489323363043,0.22707508096460782,0.17166964751568514,0,0.23764522239971492,0.18816709959432248,0.25570349051763375,0.20150883599709365,0.320725671039598,0.15546627700457533,0.22470655917651677,0.22168162835476493,0.18816709959432248,0.19272951569405436
Marketscreener,0.9333068777527768,0.9585234165320528,0.6997436791050946,0.9264382700640122,0.9459870220067941,0.9947637636374707,0.9289517459053686,0.9072767703101637,0.8500246877954221,0.998519037964629,0.9781311874904808,0.8585614320359677,0.23764522239971492,0,0.9506704187009021,0.9558447964112939,0.9687796247958198,0.9112663819411735,0.9436644070509157,0.9284852544545616,0.9562769605717876,0.9506704187009021,0.9601297789561491
MarketWatch,0.9133388061734937,0.9458418310311137,0.6779872251726978,0.9735266274461071,0.9763709403185967,0.9474612606690406,0.9309220173809242,0.9437965522175612,0.8293314199184818,0.9514568420849069,0.8839900905783077,0.8544984873636298,0.18816709959432248,0.9506704187009021,0,0.985383300774142,0.9808442327207126,0.9250064110664985,0.9233200053771177,0.9299464128479519,0.9706568910112799,1,0.9802674628853422
MorningStar,0.9660545171473546,0.9512723711486714,0.7906936911218955,0.9774027954656227,0.9778520632217145,0.9596830221771894,0.9360109156610715,0.928898379744896,0.8819301137071867,0.9638269626984138,0.8743099343292954,0.9392777823476186,0.25570349051763375,0.9558447964112939,0.985383300774142,0,0.9803101579196946,0.9157963352846394,0.952090800822421,0.9367988560149846,0.980512090153739,0.985383300774142,0.9838902381370168
Nasdaq,0.969745122436752,0.9552088375830873,0.7011922817476156,0.9794569123871896,0.973411706426833,0.9725221703167931,0.9329439738428956,0.9441103245761792,0.8915646442590622,0.969888423980869,0.8841062166137648,0.9521556856179663,0.20150883599709365,0.9687796247958198,0.9808442327207126,0.9803101579196946,0,0.9233592055744215,0.9573182428544025,0.927694952842022,0.9861211289316463,0.9808442327207126,0.9827986465923365
Reuters,0.9107466175150517,0.9059474741321047,0.6816802530246795,0.9208375936224511,0.9532082835755687,0.9093994046311515,0.8884402547861004,0.9193834808999474,0.8936988915542318,0.9122652593103705,0.8630801146826415,0.9291300756328613,0.320725671039598,0.9112663819411735,0.9250064110664985,0.9157963352846394,0.9233592055744215,0,0.9122959731114412,0.8868411087730734,0.9321457666531899,0.9250064110664985,0.9428680750440144
SlickCharts,0.9415262600421365,0.9431577860713993,0.6603907468149656,0.9188969898681574,0.9432079880314007,0.9378231344465563,0.9219069682162263,0.9187674211131115,0.84420470040908,0.947317640637448,0.929459884906196,0.8445422104072622,0.15546627700457533,0.9436644070509157,0.9233200053771177,0.952090800822421,0.9573182428544025,0.9122959731114412,0,0.9207319255547602,0.9336879501669241,0.9233200053771177,0.9574009742233751
StockAnalysis,0.9329465271900665,0.9306757311357828,0.8107975287133499,0.9371758886543804,0.9330762066009491,0.9269539437748017,0.9992660466063691,0.8936928518988186,0.8627077924594102,0.9261671111397579,0.9049432573356507,0.9159126869164085,0.22470655917651677,0.9284852544545616,0.9299464128479519,0.9367988560149846,0.927694952842022,0.8868411087730734,0.9207319255547602,0,0.9342643199036612,0.9299464128479519,0.9259912537755736
TradingView,0.9151733278152221,0.9493416699092116,0.6782129419048943,0.9644655618685433,0.9938334516355726,0.9523843593988469,0.9333094657532479,0.9489826976162193,0.8489014415233814,0.9543508201408905,0.8614716952146863,0.871098224269986,0.22168162835476493,0.9562769605717876,0.9706568910112799,0.980512090153739,0.9861211289316463,0.9321457666531899,0.9336879501669241,0.9342643199036612,0,0.9706568910112799,0.9817723532255495
WallStreetJournal,0.9133388061734937,0.9458418310311137,0.6779872251726978,0.9735266274461071,0.9763709403185967,0.9474612606690406,0.9309220173809242,0.9437965522175612,0.8293314199184818,0.9514568420849069,0.8839900905783077,0.8544984873636298,0.18816709959432248,0.9506704187009021,1,0.985383300774142,0.9808442327207126,0.9250064110664985,0.9233200053771177,0.9299464128479519,0.9706568910112799,0,0.9802674628853422
Yahoo,0.9716884901328308,0.9577228012009669,0.6686411128322544,0.9870805991734882,0.9710477386659061,0.963750570529615,0.9309910949789418,0.9411149713845123,0.9029232413664621,0.9675806697840509,0.8860421805003271,0.9430344277215116,0.19272951569405436,0.9601297789561491,0.9802674628853422,0.9838902381370168,0.9827986465923365,0.9428680750440144,0.9574009742233751,0.9259912537755736,0.9817723532255495,0.9802674628853422,0
