X,AbcBourse,Barchart,Benzinga,BourseDirect,BusinessInsider,Cnbc,Fidelity,FinancialTimes,Fintel,Finviz,Fool,Forbes,Iexcloud,Investing,Investor,Koyfin,Lesechos,Lynx,MacroTrends,MarketWatch,Marketbeat,Marketscreener,MorningStar,Msn,Nasdaq,Nyse,Reuters,SeekingAlpha,SlickCharts,StockAnalysis,StockMonitor,TradingEconomics,TradingView,UnusualWhales,WallStreetJournal,Webull,Yahoo,Ychart
AbcBourse,0,0.9949663310887392,0.9967814718959453,1,0.9954415954415955,0.998932870910728,0.9976476626320516,0.9939153066966798,1,0.9908669711009633,0.9931267916968881,0.997799511002445,0.9983524027459955,0.9948969177383139,1,0.9955264629452979,1,1,0.9363289670038136,0.9942629746310728,0.9957439706250522,0.9993989983305509,0.9941274313452595,0.9954805263857504,0.9942857142857143,0.9939187289088864,1,0.9986009793144799,0.9887891617273497,1,0.9993965603942472,0.9959305480195334,0.993864377925947,0.9986442695588916,0.9921737688608854,0.9503797804238947,0.9943097720619676,0.9955142159773072
Barchart,0.9949663310887392,0,0.9767440963910471,0.8598708405788467,0.9773817028766183,0.9941956897253398,0.9750366185077807,0.9730776848151954,0.9842075299824087,0.9661867628333225,0.9842142538087701,0.9947829013800067,0.9713017536866198,0.9445809162301678,0.9465484987298972,0.9863253382133886,0.9356325016702375,0.9639627263777274,0.3438472917813142,0.9774188485086731,0.9995315394607025,0.9809815669285348,0.982365127309677,0.9984235637932931,0.9811585081272146,0.9977097078406928,0.9372219538575082,0.9956921494245483,0.9725618347409437,0.9707769588045234,0.7170532371013755,0.9553694137612098,0.9766897143753319,0.9949863039539718,0.977015285782976,0.8363444528461146,0.9831886372501778,0.9946147788557642
Benzinga,0.9967814718959453,0.9767440963910471,0,0.8811931197582172,0.9816702999396617,0.9939270076834816,0.9775721516840556,0.9728573488441554,0.9772465834043972,0.9544730180634667,0.9751031067974765,0.9462102689486552,0.9666840435100438,0.9463216262027184,0.9430027958395045,0.9766527204427281,0.9548658224031359,0.9757409090510578,0.33031403844287316,0.9766916743182615,0.9954723845112053,0.977819938380901,0.9838997884989065,0.9939782452160504,0.9783405903550312,0.9976788576062581,0.9412043597578871,0.9951282326834502,0.9569600672656084,0.9678167298992224,0.7155739922445666,0.9570673601650606,0.9787968856720658,0.9939129835920979,0.9762517525362104,0.8265955274724094,0.9792620258202365,0.9911885814611927
BourseDirect,1,0.8598708405788467,0.8811931197582172,0,0.8634946671161925,0.985831279620853,0.839190716452427,0.9511442438249068,0.9471858151864461,0.9493442747511587,0.8612778368089908,0.9445243804956035,0.9114966580952225,0.8381679269846146,0.9218048191050818,0.8600882155836621,0.8887853959132553,0.8416609074098287,0.29337427465784216,0.8470027169523558,0.9963988672597944,0.8546748758574121,0.9066280804760731,0.9949025291687803,0.8626327065681845,0.9954120623218307,0.8313700509474425,0.9935792018012449,0.8285788608745073,0.909408993243772,0.7143941696036377,0.9707001240505778,0.847795799451528,0.9928005914816633,0.8464987853802748,0.824803197483522,0.8467315207838214,0.9689171074437857
BusinessInsider,0.9954415954415955,0.9773817028766183,0.9816702999396617,0.8634946671161925,0,0.9951006526851005,0.9799759004261103,0.9823829003562832,0.9837171638244784,0.9729229049872146,0.9721453819492685,0.9926955702167767,0.9734931729779344,0.9674409103765185,0.9531120697548663,0.9748207766397047,0.9298734814628312,0.9763564155714604,0.26445308941651796,0.9896851342546947,0.9993454069386865,0.9714713150388578,0.9916901113258867,0.9980678949466318,0.9875834301865709,0.9979014507106183,0.956671561956168,0.9920993475519492,0.9601125684588177,0.973392250974684,0.7112394732676495,0.9603934898501973,0.9860942780216657,0.9917167341446429,0.9888056326537851,0.8008056394763343,0.9916273542171259,0.9934030007589468
Cnbc,0.998932870910728,0.9941956897253398,0.9939270076834816,0.985831279620853,0.9951006526851005,0,0.9929503630355423,0.9867852330091672,0.9855930272331649,0.9632678812736247,0.9912763949064007,0.9539657853810264,0.9889091972918002,0.9902421526292609,0.9849130524970666,0.992073125242016,0.990703328923374,0.9995126705653021,0.6281178777549291,0.993170126101532,0.9969116923031017,0.9948694213573877,0.9929710629075874,0.9944987969768335,0.9933332932147427,0.9967424335177179,0.982476674211892,0.9935624484972282,0.9793395580797155,0.9890110335464392,0.9953041337733911,0.9850005590387972,0.9957013998755333,0.9917497081190243,0.9930779841486672,0.8265567858934767,0.9919034936735861,0.9918428344267944
Fidelity,0.9976476626320516,0.9750366185077807,0.9775721516840556,0.839190716452427,0.9799759004261103,0.9929503630355423,0,0.9812514147727686,0.9769661060019751,0.9687565831877375,0.9679175138301064,0.9397255515025187,0.9685301431669744,0.958611112823308,0.9442925627625425,0.9726012483251528,0.95483374057155,0.9757031181912278,0.328800823368305,0.9864456494778736,0.9962141232868293,0.9676800340026998,0.9883407185560403,0.9940034643388398,0.9830686429212269,0.9974592327639648,0.9700991931729681,0.9963054672085606,0.9556857747100144,0.9698139652205107,0.7044752688768815,0.9537651928559328,0.9962367781235922,0.995090270211091,0.9856296982314439,0.831707272854416,0.9850347900151311,0.9905455342031352
FinancialTimes,0.9939153066966798,0.9730776848151954,0.9728573488441554,0.9511442438249068,0.9823829003562832,0.9867852330091672,0.9812514147727686,0,0.9660766971124267,0.9816340430831212,0.9712761368006738,0.9416508538899431,0.9668477412000008,0.9815410429238955,0.9540916327053584,0.9736862796236706,0.9357051938778678,0.9806389449278854,0.560958727577989,0.9774152198691259,0.99911557053325,0.9768308821087429,0.9748958107515824,0.9956076330408653,0.9740858034233183,0.9967965564943606,0.9934628753020623,0.9924591736859503,0.9807545876798903,0.966494522059527,0.9242414674959745,0.9543542862899164,0.9762969671046243,0.987435548247766,0.9770014048808839,0.853371588836505,0.9837271463364544,0.9745255276993635
Fintel,1,0.9842075299824087,0.9772465834043972,0.9471858151864461,0.9837171638244784,0.9855930272331649,0.9769661060019751,0.9660766971124267,0,0.9475445549259596,0.982504286459321,0.9512987012987013,0.9882696179035962,0.9667407626269181,0.9585891041935476,0.9813518818103965,0.9578412978699923,0.9801180955228342,0.4155563209496759,0.9770936275157792,0.9911220923317744,0.9824547979163457,0.9816104515742962,0.9907360123939464,0.9778021531529116,0.9922081035722848,0.9440713728173359,0.9892433286731434,0.9748903785091477,0.9883072866449238,0.6924129733682018,0.9548572232229309,0.9826450784774842,0.9906324372382349,0.9782075375879693,0.8334612334525218,0.979697289775782,0.9863512192005892
Finviz,0.9908669711009633,0.9661867628333225,0.9544730180634667,0.9493442747511587,0.9729229049872146,0.9632678812736247,0.9687565831877375,0.9816340430831212,0.9475445549259596,0,0.9521310731164168,0.9929836284664216,0.9478067403477278,0.9732252050954908,0.9410289778069102,0.9624106858333318,0.9802546642027188,0.981255575249945,0.588632053058048,0.9623824668141593,0.9920963994116268,0.9730063069658996,0.9644883652423545,0.9734395545069846,0.9535520150107599,0.9830135934862909,0.9821229365670799,0.9738274772054138,0.9793902442626776,0.9561254141431715,0.976789899001824,0.9619148929590793,0.967970558402039,0.9669444667315392,0.9616996009683059,0.8303186313230747,0.9622551800073404,0.9532375648937413
Fool,0.9931267916968881,0.9842142538087701,0.9751031067974765,0.8612778368089908,0.9721453819492685,0.9912763949064007,0.9679175138301064,0.9712761368006738,0.982504286459321,0.9521310731164168,0,0.9399114484503479,0.965573553596051,0.9435659404689012,0.9443483413318636,0.9979973989883498,0.9446757273223617,0.9542518327681904,0.3255316362280841,0.9768617397040454,0.9983733703280032,0.9958606228782277,0.978456490972252,0.9961453756165597,0.9816370805662727,0.9986039924467224,0.9370382761107673,0.9937653611243512,0.9634876470817715,0.9646329734720199,0.7194144388581424,0.9527427431736329,0.9776444354406211,0.9926574737946439,0.977281250517164,0.8384477869080021,0.9768946908476337,0.9935780831522926
Forbes,0.997799511002445,0.9947829013800067,0.9462102689486552,0.9445243804956035,0.9926955702167767,0.9539657853810264,0.9397255515025187,0.9416508538899431,0.9512987012987013,0.9929836284664216,0.9399114484503479,0,0.7601156069364162,0.9939759036144579,0.9510785281263218,0.9479328347678848,0.9808917197452229,0.9958217270194986,0.9078503526525605,0.9434222631094756,0.9928321678321679,0.9979118329466358,0.9929836284664216,0.9944898684678279,0.9436124694376528,0.973491454482037,0.9018297995933778,0.9763829449992075,0.9877343207590835,1,0.997946611909651,1,0.9945718788303275,0.9591958302308266,0.9417356639067771,0.9610481586402266,0.9475703324808185,0.9479768786127167
Iexcloud,0.9983524027459955,0.9713017536866198,0.9666840435100438,0.9114966580952225,0.9734931729779344,0.9889091972918002,0.9685301431669744,0.9668477412000008,0.9882696179035962,0.9478067403477278,0.965573553596051,0.7601156069364162,0,0.9476197525134725,0.9463748271584272,0.9661596591295347,0.9663783866075664,0.9663285979595282,0.34393343955905953,0.9677446680635136,0.994805327086145,0.9683269260285627,0.9722590778071741,0.9940400175771157,0.9670515185282954,0.9960454514345045,0.9359453670391393,0.9968428272740907,0.9553339354934866,0.9995474025910344,0.7118050409540465,0.9535639944816466,0.9729866511350888,0.9968130896512859,0.9676355983201401,0.8005130049842177,0.9682966020098517,0.9840463352528039
Investing,0.9948969177383139,0.9445809162301678,0.9463216262027184,0.8381679269846146,0.9674409103765185,0.9902421526292609,0.958611112823308,0.9815410429238955,0.9667407626269181,0.9732252050954908,0.9435659404689012,0.9939759036144579,0.9476197525134725,0,0.9396657229390113,0.9492811952125653,0.8927718410109526,0.9455979401472726,0.28075676110554937,0.9593503780804702,0.9996520286728373,0.9458031358132148,0.9576655085902649,0.9977333617024972,0.9609386796136724,0.9975538092342541,0.9456603324105061,0.9945823967024796,0.9496013861133552,0.9427666187674709,0.70567052092738,0.9591702831013693,0.9634013686671477,0.9916824222464986,0.9583356444039762,0.8006176532695151,0.9592932353540591,0.9841031495867564
Investor,1,0.9465484987298972,0.9430027958395045,0.9218048191050818,0.9531120697548663,0.9849130524970666,0.9442925627625425,0.9540916327053584,0.9585891041935476,0.9410289778069102,0.9443483413318636,0.9510785281263218,0.9463748271584272,0.9396657229390113,0,0.9429066806024093,0.9887154050659543,0.9569997681962724,0.36894438763384113,0.9396631916463816,0.9959156645385662,0.9470217432582836,0.949471243115831,0.9945276664133482,0.944910833515243,0.9944592029306512,0.9335653197870607,0.9917617969438313,0.9357583878035091,0.9440819767420007,0.71788064247335,0.9759500651759752,0.946502132544808,0.9939613949018782,0.9393267549382149,0.8233267935819519,0.9493537981805843,0.9697806509804053
Koyfin,0.9955264629452979,0.9863253382133886,0.9766527204427281,0.8600882155836621,0.9748207766397047,0.992073125242016,0.9726012483251528,0.9736862796236706,0.9813518818103965,0.9624106858333318,0.9979973989883498,0.9479328347678848,0.9661596591295347,0.9492811952125653,0.9429066806024093,0,0.9506696614258381,0.9564751599336235,0.34649272582968055,0.9787503716597398,0.9988909345958268,0.9980283661908977,0.9807519540469062,0.9965612275581098,0.9808691901628396,0.998760335411136,0.9390938101744359,0.994787818866246,0.9672715932276276,0.9658231429974882,0.7220931959491191,0.9566477387344466,0.9788995242153418,0.9933418207228139,0.9783506906965258,0.8461184908328704,0.980338316404669,0.9955240616767995
Lesechos,1,0.9356325016702375,0.9548658224031359,0.8887853959132553,0.9298734814628312,0.990703328923374,0.95483374057155,0.9357051938778678,0.9578412978699923,0.9802546642027188,0.9446757273223617,0.9808917197452229,0.9663783866075664,0.8927718410109526,0.9887154050659543,0.9506696614258381,0,0.9481616034479471,0.28565033620612473,0.9179723024582864,0.9639703285058283,0.9916836937528314,0.9203899268887084,0.9651611944733324,0.9180147110794878,0.9643157331703217,0.9102655059302723,1,0.944227951051027,0.9635864634888555,0.752138149339793,0.9754199927507523,0.9085998004466195,0.9998516265440113,0.9179723024582864,0.7753612611297621,0.9264992467485799,0.9491664674952199
Lynx,1,0.9639627263777274,0.9757409090510578,0.8416609074098287,0.9763564155714604,0.9995126705653021,0.9757031181912278,0.9806389449278854,0.9801180955228342,0.981255575249945,0.9542518327681904,0.9958217270194986,0.9663285979595282,0.9455979401472726,0.9569997681962724,0.9564751599336235,0.9481616034479471,0,0.26730615423007975,0.9610717488672442,0.9924539692121944,0.9621423608437818,0.9674591532196873,0.9903760260234953,0.9675000364686661,0.9920470676768887,0.9596998421230929,0.9978075444497838,0.9456452044738946,0.965381230808902,0.722327019911561,0.953782138085032,0.9678811620163312,0.9966850741309198,0.9610717488672442,0.749763991908294,0.9655935964080404,0.9883097309008698
MacroTrends,0.9363289670038136,0.3438472917813142,0.33031403844287316,0.29337427465784216,0.26445308941651796,0.6281178777549291,0.328800823368305,0.560958727577989,0.4155563209496759,0.588632053058048,0.3255316362280841,0.9078503526525605,0.34393343955905953,0.28075676110554937,0.36894438763384113,0.34649272582968055,0.28565033620612473,0.26730615423007975,0,0.3442057793053342,0.9309842363226918,0.3842729709140928,0.39217746344857946,0.7557013893546213,0.32997083291292345,0.8116161031617741,0.44692801652395275,0.7286460952024602,0.24107399685671657,0.36394264496662887,0.2771634966191565,0.25549464691260654,0.38577951991059706,0.6510761824129356,0.34518338016608247,0.9315539885723515,0.2964505926402984,0.5015285799921881
MarketWatch,0.9942629746310728,0.9774188485086731,0.9766916743182615,0.8470027169523558,0.9896851342546947,0.993170126101532,0.9864456494778736,0.9774152198691259,0.9770936275157792,0.9623824668141593,0.9768617397040454,0.9434222631094756,0.9677446680635136,0.9593503780804702,0.9396631916463816,0.9787503716597398,0.9179723024582864,0.9610717488672442,0.3442057793053342,0,0.9987382427162194,0.9755964773569781,0.9932001319004127,0.996505309624692,0.9866822630435084,0.9993592321162202,0.9467309114913891,0.9948445098709288,0.9628828518637518,0.967081890063029,0.7095944630147448,0.9538717775838129,0.9902871738906217,0.9932924961112354,0.999621758106513,0.8386106819046851,0.9880740967010964,0.9952711918458138
Marketbeat,0.9957439706250522,0.9995315394607025,0.9954723845112053,0.9963988672597944,0.9993454069386865,0.9969116923031017,0.9962141232868293,0.99911557053325,0.9911220923317744,0.9920963994116268,0.9983733703280032,0.9928321678321679,0.994805327086145,0.9996520286728373,0.9959156645385662,0.9988909345958268,0.9639703285058283,0.9924539692121944,0.9309842363226918,0.9987382427162194,0,0.9970967879659015,0.9979809220985691,0.9985605501536765,0.9979636956015825,0.9989258697400707,0.9899755882200176,0.9964905098994579,0.994597729214992,0.9942178626742385,0.9960987291900035,1,0.9985935613904916,0.9964983042969627,0.9982307885324476,0.955353727064505,0.9987198011574195,0.9990989915636347
Marketscreener,0.9993989983305509,0.9809815669285348,0.977819938380901,0.8546748758574121,0.9714713150388578,0.9948694213573877,0.9676800340026998,0.9768308821087429,0.9824547979163457,0.9730063069658996,0.9958606228782277,0.9979118329466358,0.9683269260285627,0.9458031358132148,0.9470217432582836,0.9980283661908977,0.9916836937528314,0.9621423608437818,0.3842729709140928,0.9755964773569781,0.9970967879659015,0,0.9773070531553079,0.9943780244805009,0.9794008462743563,0.9955755900816271,0.9401645550157036,0.997665917998855,0.9621663889724932,0.9681768475971883,0.7256581289200023,0.9594041645890223,0.9767585466243491,0.9956716872432092,0.9750217725748543,0.8370084853523744,0.9750640580253072,0.9936147932619219
MorningStar,0.9941274313452595,0.982365127309677,0.9838997884989065,0.9066280804760731,0.9916901113258867,0.9929710629075874,0.9883407185560403,0.9748958107515824,0.9816104515742962,0.9644883652423545,0.978456490972252,0.9929836284664216,0.9722590778071741,0.9576655085902649,0.949471243115831,0.9807519540469062,0.9203899268887084,0.9674591532196873,0.39217746344857946,0.9932001319004127,0.9979809220985691,0.9773070531553079,0,0.9967482140222101,0.9890431869565666,0.9980954732220008,0.9449799429174649,0.9949209060716794,0.9684360808574979,0.9718962338634669,0.7099509600957901,0.9508217280726506,0.9916580593714015,0.9945088233072927,0.9927551840366194,0.8458021914229736,0.9924324898136185,0.9954457041471512
Msn,0.9954805263857504,0.9984235637932931,0.9939782452160504,0.9949025291687803,0.9980678949466318,0.9944987969768335,0.9940034643388398,0.9956076330408653,0.9907360123939464,0.9734395545069846,0.9961453756165597,0.9944898684678279,0.9940400175771157,0.9977333617024972,0.9945276664133482,0.9965612275581098,0.9651611944733324,0.9903760260234953,0.7557013893546213,0.996505309624692,0.9985605501536765,0.9943780244805009,0.9967482140222101,0,0.9958127579782057,0.9980745742462305,0.9895216427797893,0.9936637120113841,0.9891237991196221,0.9934314832495557,0.9955591029897511,0.9896405284831846,0.9980111985668484,0.9952224600100298,0.9959423523488667,0.8381988588017418,0.9970600951145698,0.9971141517831622
Nasdaq,0.9942857142857143,0.9811585081272146,0.9783405903550312,0.8626327065681845,0.9875834301865709,0.9933332932147427,0.9830686429212269,0.9740858034233183,0.9778021531529116,0.9535520150107599,0.9816370805662727,0.9436124694376528,0.9670515185282954,0.9609386796136724,0.944910833515243,0.9808691901628396,0.9180147110794878,0.9675000364686661,0.32997083291292345,0.9866822630435084,0.9979636956015825,0.9794008462743563,0.9890431869565666,0.9958127579782057,0,0.9987301060584789,0.9448258206590247,0.9941298755541211,0.9680680493136935,0.965744774151781,0.7103003007375268,0.9510946537979674,0.9908479238495513,0.9936441170034997,0.9866613193031514,0.8375966144862174,0.9876659523455409,0.9922331037674267
Nyse,0.9939187289088864,0.9977097078406928,0.9976788576062581,0.9954120623218307,0.9979014507106183,0.9967424335177179,0.9974592327639648,0.9967965564943606,0.9922081035722848,0.9830135934862909,0.9986039924467224,0.973491454482037,0.9960454514345045,0.9975538092342541,0.9944592029306512,0.998760335411136,0.9643157331703217,0.9920470676768887,0.8116161031617741,0.9993592321162202,0.9989258697400707,0.9955755900816271,0.9980954732220008,0.9980745742462305,0.9987301060584789,0,0.9894013777925257,0.9965932193317182,0.9894476724771255,0.9955738641908187,0.9928271518544437,0.984506916753915,0.9993359940365807,0.9959423318066551,0.9990349168134613,0.856584330174512,0.9999588594937432,0.9992899264140895
Reuters,1,0.9372219538575082,0.9412043597578871,0.8313700509474425,0.956671561956168,0.982476674211892,0.9700991931729681,0.9934628753020623,0.9440713728173359,0.9821229365670799,0.9370382761107673,0.9018297995933778,0.9359453670391393,0.9456603324105061,0.9335653197870607,0.9390938101744359,0.9102655059302723,0.9596998421230929,0.44692801652395275,0.9467309114913891,0.9899755882200176,0.9401645550157036,0.9449799429174649,0.9895216427797893,0.9448258206590247,0.9894013777925257,0,0.989681253934022,0.9434894331390169,0.9343462879865614,0.7522060850206721,0.9434139251292696,0.9495049796791664,0.9851621120341623,0.9460015595969491,0.8693984426323934,0.9591055963267306,0.9693244903784235
SeekingAlpha,0.9986009793144799,0.9956921494245483,0.9951282326834502,0.9935792018012449,0.9920993475519492,0.9935624484972282,0.9963054672085606,0.9924591736859503,0.9892433286731434,0.9738274772054138,0.9937653611243512,0.9763829449992075,0.9968428272740907,0.9945823967024796,0.9917617969438313,0.994787818866246,1,0.9978075444497838,0.7286460952024602,0.9948445098709288,0.9964905098994579,0.997665917998855,0.9949209060716794,0.9936637120113841,0.9941298755541211,0.9965932193317182,0.989681253934022,0,0.9826388888888888,0.9969406150086522,0.9981032762284905,0.9877587148533871,0.996338231952864,0.9951695074310061,0.9943074702873738,0.8260703477032753,0.9949310006394337,0.9943201117835968
SlickCharts,0.9887891617273497,0.9725618347409437,0.9569600672656084,0.8285788608745073,0.9601125684588177,0.9793395580797155,0.9556857747100144,0.9807545876798903,0.9748903785091477,0.9793902442626776,0.9634876470817715,0.9877343207590835,0.9553339354934866,0.9496013861133552,0.9357583878035091,0.9672715932276276,0.944227951051027,0.9456452044738946,0.24107399685671657,0.9628828518637518,0.994597729214992,0.9621663889724932,0.9684360808574979,0.9891237991196221,0.9680680493136935,0.9894476724771255,0.9434894331390169,0.9826388888888888,0,0.954540465267593,0.7022982248964978,0.9444573582841739,0.9640804862420442,0.9800447074920847,0.9643646680766856,0.7867575147708995,0.9679046202030055,0.9753351171590058
StockAnalysis,1,0.9707769588045234,0.9678167298992224,0.909408993243772,0.973392250974684,0.9890110335464392,0.9698139652205107,0.966494522059527,0.9883072866449238,0.9561254141431715,0.9646329734720199,1,0.9995474025910344,0.9427666187674709,0.9440819767420007,0.9658231429974882,0.9635864634888555,0.965381230808902,0.36394264496662887,0.967081890063029,0.9942178626742385,0.9681768475971883,0.9718962338634669,0.9934314832495557,0.965744774151781,0.9955738641908187,0.9343462879865614,0.9969406150086522,0.954540465267593,0,0.7104174234880312,0.9521065882365554,0.9731619518929772,0.996302155204452,0.9669662371245055,0.8000955357419426,0.9666865039204301,0.9842375753001084
StockMonitor,0.9993965603942472,0.7170532371013755,0.7155739922445666,0.7143941696036377,0.7112394732676495,0.9953041337733911,0.7044752688768815,0.9242414674959745,0.6924129733682018,0.976789899001824,0.7194144388581424,0.997946611909651,0.7118050409540465,0.70567052092738,0.71788064247335,0.7220931959491191,0.752138149339793,0.722327019911561,0.2771634966191565,0.7095944630147448,0.9960987291900035,0.7256581289200023,0.7099509600957901,0.9955591029897511,0.7103003007375268,0.9928271518544437,0.7522060850206721,0.9981032762284905,0.7022982248964978,0.7104174234880312,0,0.6600072932616646,0.7123830261183473,0.9967756107194822,0.7073535957245161,0.7690710419716105,0.7134397762591409,0.9259444906142802
TradingEconomics,0.9959305480195334,0.9553694137612098,0.9570673601650606,0.9707001240505778,0.9603934898501973,0.9850005590387972,0.9537651928559328,0.9543542862899164,0.9548572232229309,0.9619148929590793,0.9527427431736329,1,0.9535639944816466,0.9591702831013693,0.9759500651759752,0.9566477387344466,0.9754199927507523,0.953782138085032,0.25549464691260654,0.9538717775838129,1,0.9594041645890223,0.9508217280726506,0.9896405284831846,0.9510946537979674,0.984506916753915,0.9434139251292696,0.9877587148533871,0.9444573582841739,0.9521065882365554,0.6600072932616646,0,0.9497961138114366,0.9847365654153561,0.9517044811119416,0.7006666096914793,0.9549972932268207,0.964048141918855
TradingView,0.993864377925947,0.9766897143753319,0.9787968856720658,0.847795799451528,0.9860942780216657,0.9957013998755333,0.9962367781235922,0.9762969671046243,0.9826450784774842,0.967970558402039,0.9776444354406211,0.9945718788303275,0.9729866511350888,0.9634013686671477,0.946502132544808,0.9788995242153418,0.9085998004466195,0.9678811620163312,0.38577951991059706,0.9902871738906217,0.9985935613904916,0.9767585466243491,0.9916580593714015,0.9980111985668484,0.9908479238495513,0.9993359940365807,0.9495049796791664,0.996338231952864,0.9640804862420442,0.9731619518929772,0.7123830261183473,0.9497961138114366,0,0.9954200986172338,0.9899225525338822,0.8606597720374063,0.9895541684697593,0.9957122279970223
UnusualWhales,0.9986442695588916,0.9949863039539718,0.9939129835920979,0.9928005914816633,0.9917167341446429,0.9917497081190243,0.995090270211091,0.987435548247766,0.9906324372382349,0.9669444667315392,0.9926574737946439,0.9591958302308266,0.9968130896512859,0.9916824222464986,0.9939613949018782,0.9933418207228139,0.9998516265440113,0.9966850741309198,0.6510761824129356,0.9932924961112354,0.9964983042969627,0.9956716872432092,0.9945088233072927,0.9952224600100298,0.9936441170034997,0.9959423318066551,0.9851621120341623,0.9951695074310061,0.9800447074920847,0.996302155204452,0.9967756107194822,0.9847365654153561,0.9954200986172338,0,0.9929931434685713,0.8336219291600315,0.9952811087991084,0.9931461738586818
WallStreetJournal,0.9921737688608854,0.977015285782976,0.9762517525362104,0.8464987853802748,0.9888056326537851,0.9930779841486672,0.9856296982314439,0.9770014048808839,0.9782075375879693,0.9616996009683059,0.977281250517164,0.9417356639067771,0.9676355983201401,0.9583356444039762,0.9393267549382149,0.9783506906965258,0.9179723024582864,0.9610717488672442,0.34518338016608247,0.999621758106513,0.9982307885324476,0.9750217725748543,0.9927551840366194,0.9959423523488667,0.9866613193031514,0.9990349168134613,0.9460015595969491,0.9943074702873738,0.9643646680766856,0.9669662371245055,0.7073535957245161,0.9517044811119416,0.9899225525338822,0.9929931434685713,0,0.8378697747270001,0.9876145892586118,0.9946280892193033
Webull,0.9503797804238947,0.8363444528461146,0.8265955274724094,0.824803197483522,0.8008056394763343,0.8265567858934767,0.831707272854416,0.853371588836505,0.8334612334525218,0.8303186313230747,0.8384477869080021,0.9610481586402266,0.8005130049842177,0.8006176532695151,0.8233267935819519,0.8461184908328704,0.7753612611297621,0.749763991908294,0.9315539885723515,0.8386106819046851,0.955353727064505,0.8370084853523744,0.8458021914229736,0.8381988588017418,0.8375966144862174,0.856584330174512,0.8693984426323934,0.8260703477032753,0.7867575147708995,0.8000955357419426,0.7690710419716105,0.7006666096914793,0.8606597720374063,0.8336219291600315,0.8378697747270001,0,0.8159328694663621,0.8387330574543419
Yahoo,0.9943097720619676,0.9831886372501778,0.9792620258202365,0.8467315207838214,0.9916273542171259,0.9919034936735861,0.9850347900151311,0.9837271463364544,0.979697289775782,0.9622551800073404,0.9768946908476337,0.9475703324808185,0.9682966020098517,0.9592932353540591,0.9493537981805843,0.980338316404669,0.9264992467485799,0.9655935964080404,0.2964505926402984,0.9880740967010964,0.9987198011574195,0.9750640580253072,0.9924324898136185,0.9970600951145698,0.9876659523455409,0.9999588594937432,0.9591055963267306,0.9949310006394337,0.9679046202030055,0.9666865039204301,0.7134397762591409,0.9549972932268207,0.9895541684697593,0.9952811087991084,0.9876145892586118,0.8159328694663621,0,0.9947056750328181
Ychart,0.9955142159773072,0.9946147788557642,0.9911885814611927,0.9689171074437857,0.9934030007589468,0.9918428344267944,0.9905455342031352,0.9745255276993635,0.9863512192005892,0.9532375648937413,0.9935780831522926,0.9479768786127167,0.9840463352528039,0.9841031495867564,0.9697806509804053,0.9955240616767995,0.9491664674952199,0.9883097309008698,0.5015285799921881,0.9952711918458138,0.9990989915636347,0.9936147932619219,0.9954457041471512,0.9971141517831622,0.9922331037674267,0.9992899264140895,0.9693244903784235,0.9943201117835968,0.9753351171590058,0.9842375753001084,0.9259444906142802,0.964048141918855,0.9957122279970223,0.9931461738586818,0.9946280892193033,0.8387330574543419,0.9947056750328181,0
